Keyword Stats 2024-11-14 at 13_01_51,,,,,,,,
"November 1, 2023 - October 31, 2024",,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
nutrition and training,USD,50,0%,-100%,Unknown,,,
eating body,USD,50,∞,∞,Low,0,,
no eat,USD,50,0%,0%,Low,0,,
eat food as your medicine,USD,50,0%,0%,Unknown,,,
ba nutrition and dietetics,USD,50,-100%,0%,Unknown,,,
eat well to feel well,USD,50,0%,0%,Unknown,,,
dietary education,USD,50,0%,0%,Medium,50,,
nutrition is good for health,USD,0,0%,-100%,Unknown,,,
nutritional well being,USD,50,0%,0%,Low,24,,
eating disorder recovery food,USD,50,0%,∞,Low,29,,
food is a medicine,USD,50,0%,0%,Medium,53,1.53,6.94
doctors and nutrition,USD,50,0%,0%,Unknown,,,
nutrition is key,USD,50,-100%,0%,Unknown,,,
food as health,USD,50,∞,∞,Low,0,,
diet related disease,USD,50,0%,0%,Low,3,,
the life nutrition,USD,0,0%,0%,Unknown,,,
body wisdom nutrition,USD,50,0%,∞,Low,29,,
nutrition for everyone,USD,50,0%,-100%,Unknown,,,
health at every size approach,USD,50,0%,0%,Unknown,,,
good nutrition is,USD,50,0%,0%,Unknown,,,
nutrition for well being,USD,0,0%,0%,Unknown,,,
help me to eat,USD,, --, --,Unknown,,,
nutrition of body,USD,50,∞,0%,Low,0,,
nutritionist recommended foods,USD,50,0%,0%,Unknown,,,
food as your medicine,USD,50,∞,0%,Low,0,,
healthy nutrition program,USD,50,0%,0%,Unknown,,,
nutrition health institute,USD,0,0%,0%,Unknown,,,
background for nutrition,USD,50,∞,∞,Low,0,,
virtual diet,USD,50,0%,-100%,Unknown,,,
struggling with nutrition,USD,0,0%,0%,Unknown,,,
diet terminology,USD,50,0%,-100%,Unknown,,,
focus nutritional medicine,USD,, --, --,Unknown,,,
see diet,USD,50,0%,0%,Unknown,,,
management of nutrition,USD,0,0%,0%,Unknown,,,
haes approach,USD,50,0%,0%,Low,0,,
health and nutrition center,USD,50,0%,∞,Low,0,,
eating with confidence,USD,50,0%,0%,Unknown,,,
food and its nutrition,USD,50,0%,-100%,Unknown,,,
all the nutrition,USD,50,∞,0%,Low,0,,
the method nutrition,USD,0,0%,0%,Unknown,,,
understanding diet and nutrition,USD,50,0%,0%,Unknown,,,
diet concerns,USD,50,∞,0%,Low,0,,
division of nutrition,USD,0,0%,0%,Unknown,,,
im eating too much,USD,50,-100%,0%,Unknown,,,
making a nutrition plan,USD,50,0%,0%,Unknown,,,
eating for your body,USD,50,∞,0%,Low,0,,
public health diet,USD,, --, --,Unknown,,,
medicine diet,USD,50000,0%,0%,Medium,37,0.52,4.26
food is best medicine,USD,50,-100%,-100%,Unknown,,,
eating no,USD,50,0%,0%,Low,0,,
intuitive eating and insulin resistance,USD,0,0%,0%,Unknown,,,
haes principles,USD,50,0%,0%,Low,2,,
nutrition key,USD,50,-100%,0%,Unknown,,,
the good nutrition,USD,50,0%,0%,Unknown,,,
food nutrition education,USD,50,0%,-100%,Unknown,,,
diet love,USD,50,0%,0%,Unknown,,,
eating too little,USD,50,-100%,0%,Unknown,,,
eating a diet,USD,50,0%,0%,Low,9,,
diet needs,USD,50,0%,0%,Low,0,,
i eat too much food,USD,50,0%,0%,Low,0,,
through diet,USD,50,0%,0%,Unknown,,,
eating and health,USD,50,0%,0%,Unknown,,,
i am eating too much,USD,50,0%,0%,Medium,38,,
health nutrition and food,USD,50,∞,0%,Low,19,,
peace with food,USD,50,∞,0%,Low,14,,
anorexia menu,USD,0,0%,0%,Unknown,,,
eating is good,USD,0,0%,0%,Unknown,,,
eating no food,USD,50,0%,0%,Unknown,,,
principles of health at every size,USD,50,0%,-100%,Unknown,,,
health nutrition diet,USD,50,0%,0%,Low,18,,
diet plan means,USD,50,-100%,-100%,Unknown,,,
nutrition and feeding,USD,50,0%,0%,Low,14,,
about food and health,USD,, --, --,Unknown,,,
food and chronic disease,USD,50,0%,0%,Unknown,,,
own it nutrition,USD,50,0%,0%,Unknown,,,
eating to little,USD,50,0%,-100%,Unknown,,,
nutrition based diet,USD,50,0%,0%,Unknown,,,
health & nutrition center,USD,50,0%,∞,Low,0,,
diet and diet,USD,5000,900%,900%,Low,18,1.25,5.79
diet related chronic disease,USD,50,0%,-100%,Unknown,,,
food and your health,USD,50,∞,∞,Low,0,,
long nutrition,USD,0,0%,0%,Unknown,,,
results of good nutrition,USD,0,0%,0%,Unknown,,,
diet for chronic disease,USD,50,0%,0%,Low,0,,
its nutrition,USD,50,0%,0%,Unknown,,,
education and diet,USD,50,0%,0%,Unknown,,,
health diet and nutrition,USD,50,0%,0%,Medium,49,,
a good nutrition,USD,50,0%,0%,Unknown,,,
nutrition evidence,USD,50,0%,0%,Unknown,,,
diet nutrition center,USD,0,0%,0%,Unknown,,,
support diet,USD,0,0%,0%,Unknown,,,
be good nutrition,USD,, --, --,Unknown,,,
diet page,USD,50,0%,0%,Unknown,,,
disease and diet,USD,50,0%,0%,Low,2,,
best way of eating for health,USD,50,-100%,-100%,Unknown,,,
nutrition no,USD,50,0%,0%,Unknown,,,
diet out,USD,50,0%,-100%,Unknown,,,
nutrition term,USD,50,0%,∞,Low,0,,
we are on diet,USD,0,0%,0%,Unknown,,,
nutrition in the us,USD,50,∞,0%,Low,0,,
proper way of achieving good nutrition and proper diet,USD,0,0%,0%,Unknown,,,
background nutrition,USD,50,∞,∞,Low,0,,
good for body,USD,50,0%,0%,Low,0,,
nutrition and chronic disease,USD,50,∞,∞,Low,0,,
eat your health,USD,50,0%,0%,Unknown,,,
food and our health,USD,50,0%,0%,Unknown,,,
nutrition education programme,USD,50,∞,0%,High,100,,
food nutrition food,USD,50,0%,0%,Low,6,,
good food nutrition,USD,50,-100%,0%,Unknown,,,
intuitive eating without gaining weight,USD,50,∞,∞,Low,0,,
nutritionist suggested diet,USD,50,0%,-100%,Unknown,,,
nutrition in our body,USD,50,0%,-100%,Unknown,,,
nutritious and healthy,USD,50,0%,0%,Low,0,,
nutritious eating,USD,50,0%,0%,Low,0,,
healthy eating principle,USD,50,0%,-100%,Unknown,,,
nutrition education strategies,USD,0,0%,0%,Unknown,,,
get your diet,USD,50,0%,0%,Unknown,,,
help eat,USD,50,0%,∞,Medium,57,,
helps in good nutrition,USD,, --, --,Unknown,,,
nutrition at work,USD,50,-100%,0%,Unknown,,,
nutrition education plan,USD,50,0%,0%,Unknown,,,
i eat to feel better,USD,0,0%,0%,Unknown,,,
i feel like im eating too much,USD,0,0%,-100%,Unknown,,,
good nutrition for good health,USD,500,0%,0%,Low,12,0.68,3.81
nutri eat,USD,50,0%,0%,Low,0,,
good for eating,USD,50,-100%,0%,Unknown,,,
information diets,USD,50,0%,0%,Low,0,,
nutrition strategies,USD,50,0%,-100%,Unknown,,,
the best food diet,USD,50,0%,0%,Unknown,,,
method of nutrition education,USD,50,0%,0%,Unknown,,,
right eating habits,USD,50,0%,0%,Low,15,0.38,9.84
nutrition services program,USD,50,0%,0%,Unknown,,,
we eat what we are,USD,50,-100%,0%,Unknown,,,
food and the body,USD,50,0%,0%,Low,0,,
learn eating,USD,50,∞,∞,Low,0,,
best diet for life,USD,50,0%,0%,High,93,,
body health diet,USD,50,0%,∞,High,100,,
a health diet,USD,50,0%,0%,Low,1,,
current eating habits,USD,0,0%,0%,Unknown,,,
diet recovery,USD,50,0%,0%,Low,0,,
eating a nutritious diet,USD,50,-100%,0%,Unknown,,,
nutrition concerns,USD,50,∞,0%,Low,0,,
health education on diet,USD,50,0%,-100%,Unknown,,,
food and your body,USD,50,-100%,0%,Unknown,,,
for your diet,USD,50,0%,∞,Low,0,,
the nutrition plan,USD,, --, --,Unknown,,,
food peace,USD,50,0%,-100%,Unknown,,,
adults diet,USD,50,∞,∞,Low,0,,
nutrition in practice,USD,50,0%,0%,Unknown,,,
a good nutrition diet,USD,50,0%,0%,Low,14,,
good nourishment,USD,50,0%,0%,Unknown,,,
manage diet,USD,50,0%,0%,Unknown,,,
health and nutrition university courses,USD,, --, --,Unknown,,,
eating a good diet,USD,50,0%,0%,Medium,58,1.45,4.21
im eating,USD,50,-100%,-100%,Unknown,,,
chronic nutrition,USD,50,∞,∞,Low,0,,
diet for all,USD,50,0%,0%,Unknown,,,
eating way,USD,50,0%,0%,Low,0,,
health through food,USD,50,0%,-100%,Unknown,,,
we eat too much food,USD,0,0%,0%,Unknown,,,
nutrition building,USD,50,-100%,-100%,Unknown,,,
healthy and nutritious diet,USD,50,0%,0%,Low,18,,
in our diet,USD,0,0%,0%,Unknown,,,
my eating,USD,50,0%,0%,Low,0,,
eat to health,USD,50,0%,0%,Low,0,,
doctors who use food as medicine,USD,0,0%,0%,Unknown,,,
healthy diet what is it,USD,0,0%,0%,Unknown,,,
dietary patterns,USD,50,0%,0%,Low,0,,
each diet,USD,50,0%,0%,Unknown,,,
healthy eating adults,USD,50,-100%,0%,Unknown,,,
nutritious food and well being,USD,, --, --,Unknown,,,
right way to eat,USD,50,0%,0%,Unknown,,,
in my diet,USD,50,-100%,0%,Unknown,,,
good nutritious diet,USD,50,0%,0%,Low,0,,
healthiness of food,USD,5000,0%,0%,Medium,60,0.91,6.50
diet well,USD,0,0%,0%,Unknown,,,
eating too,USD,50,0%,∞,Low,0,,
medical nutrition center,USD,0,0%,0%,Unknown,,,
healthy nutritional diet,USD,50,0%,0%,Low,18,,
best uni for dietetics,USD,50,-100%,0%,Unknown,,,
good diet for,USD,50,0%,0%,Unknown,,,
way of eating,USD,50,0%,0%,Low,0,,
weight inclusivity,USD,50,0%,0%,Low,0,,
about good nutrition,USD,0,0%,0%,Unknown,,,
evidence based diet,USD,50,∞,0%,Low,0,,
state university offering nutrition and dietetics,USD,, --, --,Unknown,,,
a nutritious diet,USD,50,∞,0%,Low,5,,
well diet,USD,50,-100%,-100%,Unknown,,,
diet eating healthy,USD,50,0%,0%,Medium,58,1.45,4.21
healthy diet principles,USD,50,∞,∞,Low,0,,
my diet is,USD,50,0%,0%,Unknown,,,
best eating diet,USD,0,0%,0%,Unknown,,,
best nutrition for health,USD,50,∞,∞,Low,25,,
diet to help,USD,50,0%,0%,High,69,3.06,6.83
nutrition quality of life,USD,50,∞,∞,Low,0,,
i have a diet,USD,50,-100%,0%,Unknown,,,
eating patterns,USD,50,-100%,-100%,Unknown,,,
university diet,USD,50,0%,0%,Unknown,,,
diet medical,USD,50,0%,0%,Low,21,,
women in nutrition,USD,50,∞,∞,Low,0,,
give me a good diet,USD,50,∞,∞,Medium,57,,
teenagers eating,USD,50,0%,0%,Low,0,,
all food diet,USD,50,0%,0%,Unknown,,,
diet approach,USD,50,∞,∞,Low,0,,
food & diet,USD,500,0%,0%,High,91,1.54,7.77
good for your diet,USD,50,0%,0%,Unknown,,,
food health care,USD,50,∞,0%,Low,0,,
way to eat,USD,50,0%,0%,Low,0,,
diet for good body,USD,0,0%,0%,Unknown,,,
health at all sizes,USD,50,0%,0%,Low,0,,
diet for patients,USD,50,∞,0%,Low,0,,
me on diet,USD,0,0%,0%,Unknown,,,
nutrition food diet,USD,0,0%,0%,Unknown,,,
public health and food,USD,50,∞,∞,Low,0,,
focus on diet,USD,0,0%,0%,Unknown,,,
healthy diet for body,USD,50,0%,∞,High,100,,
nutrition for chronic disease,USD,50,0%,0%,Unknown,,,
the best way to eat,USD,50,0%,-100%,Unknown,,,
best diet for your health,USD,50,0%,0%,Unknown,,,
eating to eat,USD,50,0%,-100%,Unknown,,,
i have diet,USD,50,-100%,0%,Unknown,,,
nutrition health program,USD,50,0%,0%,Unknown,,,
the food diet,USD,50,0%,0%,Unknown,,,
health at every size model,USD,50,0%,-100%,Unknown,,,
right eating,USD,50,-100%,0%,Unknown,,,
eating strategies,USD,50,0%,0%,Unknown,,,
health and every size,USD,50,0%,0%,Unknown,,,
food should be your medicine,USD,50,0%,0%,Unknown,,,
healthy diet healthy diet,USD,500,0%,0%,Low,18,1.50,6.41
healthy diet help,USD,50,0%,0%,Unknown,,,
improving diet and nutrition,USD,50,0%,-100%,Unknown,,,
diet is my health,USD,, --, --,Unknown,,,
find diet,USD,50,0%,0%,Unknown,,,
help to eat,USD,50,∞,∞,Medium,36,,
haes health at every size,USD,50,-100%,-100%,Unknown,,,
right way to eat food,USD,50,-100%,0%,Unknown,,,
nutrition what to eat,USD,50,0%,0%,Unknown,,,
health education for diet,USD,, --, --,Unknown,,,
her nutrition,USD,50,∞,∞,High,100,,
nourish yourself,USD,50,0%,∞,Low,0,,
nutrition based food,USD,50,0%,0%,Unknown,,,
best way to eat food,USD,50,-100%,0%,Unknown,,,
diet for body,USD,50,-100%,-100%,Unknown,,,
food and nutrition graduate programs,USD,50,0%,0%,High,81,6.94,16.05
eating to nourish your body,USD,50,0%,0%,Unknown,,,
highly nutritious diet,USD,50,0%,0%,Unknown,,,
learning how to diet,USD,50,0%,∞,Medium,43,,
nutrition and recovery,USD,50,0%,0%,High,79,,
recommended diet for,USD,50,-100%,0%,Unknown,,,
diet making,USD,50,0%,0%,Unknown,,,
food neutral,USD,50,0%,0%,Low,0,,
healthy food healthy diet,USD,500,900%,0%,Medium,52,0.89,3.55
help with my diet,USD,50,∞,∞,Medium,57,,
medicinal diet,USD,50,0%,0%,Low,21,,
way of eating food,USD,50,0%,0%,Unknown,,,
d iet,USD,5000,900%,900%,Low,18,1.25,5.79
eating too much food,USD,50,0%,0%,Low,0,,
good food and health,USD,0,0%,0%,Unknown,,,
best diet healthy,USD,50,0%,0%,Low,32,0.55,4.86
healthy diet for patients,USD,50,0%,0%,Unknown,,,
diet health food,USD,500,900%,0%,Medium,52,0.89,3.55
eating nutritious foods,USD,500,0%,0%,High,89,0.06,3.00
food eating habits,USD,50,0%,0%,Unknown,,,
my health diet,USD,0,0%,0%,Unknown,,,
the good diet,USD,50,0%,0%,Medium,52,0.91,3.29
good for your body,USD,50,0%,0%,Low,0,,
a health food,USD,50,-100%,0%,Unknown,,,
eat what you eat,USD,50,0%,0%,Unknown,,,
every how many hours should you eat,USD,50,-100%,0%,Unknown,,,
foods to eat to maintain a healthy lifestyle,USD,50,0%,0%,Unknown,,,
health education diet,USD,, --, --,Unknown,,,
healthy diet for life,USD,50,∞,∞,Low,0,,
nutrition division,USD,0,0%,0%,Unknown,,,
diet improvements,USD,50,0%,0%,High,86,,
the best eating plan,USD,50,0%,0%,Unknown,,,
we eat too much,USD,50,0%,0%,Unknown,,,
best and body,USD,50,0%,0%,Unknown,,,
eat hea,USD,500,0%,0%,Low,17,1.70,7.98
diet to feel good,USD,50,0%,-100%,Unknown,,,
eating for wellbeing,USD,0,0%,-100%,Unknown,,,
food for your body,USD,50,-100%,0%,Unknown,,,
health education about diet,USD,50,0%,-100%,Unknown,,,
improving your diet,USD,50,∞,0%,Low,7,,
diet based,USD,0,0%,0%,Unknown,,,
education about food,USD,50,0%,0%,Low,5,,
food diet for,USD,50,0%,-100%,Unknown,,,
particular diet,USD,0,0%,0%,Unknown,,,
health nutrition program,USD,50,0%,0%,Unknown,,,
for you to eat,USD,50,0%,0%,Unknown,,,
health and food services,USD,50,∞,0%,Low,0,,
pediatric nutrition support,USD,50,∞,∞,Low,14,,
you should eat well,USD,, --, --,Unknown,,,
the right way to eat,USD,50,0%,-100%,Unknown,,,
eat for food,USD,50,0%,0%,Unknown,,,
i eat too little,USD,50,-100%,0%,Unknown,,,
us eating,USD,50,∞,∞,Low,21,,
about eating habits,USD,, --, --,Unknown,,,
eating teens,USD,50,0%,-100%,Unknown,,,
healthy healthy diet,USD,500,0%,0%,Low,18,1.50,6.41
building a diet,USD,50,0%,0%,Medium,61,0.74,6.14
difference between dieting and eating healthy,USD,0,0%,0%,Unknown,,,
eat health food,USD,50,0%,0%,Medium,37,0.07,1.42
food eat healthy,USD,500,900%,900%,High,77,0.04,1.54
getting started on a diet,USD,50,-100%,0%,Unknown,,,
questions about eating,USD,50,0%,-100%,Unknown,,,
health health food,USD,5000,0%,0%,Medium,60,0.91,6.50
food and our body,USD,50,-100%,0%,Unknown,,,
food for your health,USD,50,∞,∞,Low,0,,
khane ki diet,USD,, --, --,Unknown,,,
nutrition solutions llc,USD,50,0%,0%,Unknown,,,
nutritive center,USD,50,0%,0%,Low,0,,
diet and wellbeing,USD,0,0%,0%,Unknown,,,
nutritious food for adults,USD,0,0%,0%,Unknown,,,
ll diet,USD,0,0%,0%,Unknown,,,
without eating,USD,50,0%,0%,Unknown,,,
eating for your,USD,50,0%,0%,Unknown,,,
eating heal,USD,500,0%,0%,Low,17,1.70,7.98
way eat,USD,50,0%,0%,Low,0,,
eating good,USD,50,0%,0%,Low,0,,
good diet for good health,USD,50,0%,0%,Low,32,0.55,4.86
diet you,USD,0,0%,0%,Unknown,,,
nutritionist menu plan,USD,50,0%,0%,High,77,4.50,10.93
eat diet food,USD,50,0%,0%,Unknown,,,
for good health what to eat,USD,, --, --,Unknown,,,
best health nutrition,USD,50,0%,0%,Unknown,,,
high quality diet,USD,50,∞,∞,High,67,,
eating good food,USD,50,0%,0%,Low,20,,
healthy food healthy food healthy food healthy food,USD,, --, --,Unknown,,,
all about diet,USD,0,0%,0%,Unknown,,,
diet in the us,USD,50,0%,0%,Low,3,,
on my diet,USD,50,0%,0%,Unknown,,,
diet healthy diet,USD,500,0%,0%,Low,18,1.50,6.41
competent eating,USD,50,-100%,-100%,Unknown,,,
diet first,USD,50,0%,∞,Low,0,,
healthy diet for ladies,USD,50,0%,0%,Medium,37,0.93,4.50
way of eating diet,USD,50,0%,-100%,Unknown,,,
creating a diet,USD,50,0%,0%,Medium,43,,
diet and me,USD,50,-100%,0%,Unknown,,,
diet with me,USD,0,0%,0%,Unknown,,,
nutritional condition,USD,50,0%,0%,Unknown,,,
food are good,USD,50,0%,0%,Medium,47,,
making diet,USD,50,0%,0%,Unknown,,,
nutrition recovery,USD,50,0%,0%,High,79,,
balanced diet items,USD,0,0%,0%,Unknown,,,
diet body,USD,50,-100%,-100%,Unknown,,,
healthy eating and wellbeing,USD,, --, --,Unknown,,,
methodology of nutrition,USD,, --, --,Unknown,,,
best diet for chronic illness,USD,50,0%,0%,Unknown,,,
diet started,USD,50,0%,0%,Medium,54,0.93,4.32
eating right means,USD,50,0%,0%,Unknown,,,
nutrition what your body needs,USD,50,-100%,-100%,Unknown,,,
diet top,USD,50,0%,0%,Low,29,,
good food for your body,USD,50,0%,0%,Medium,36,,
diet for diet,USD,5000,900%,900%,Low,18,1.25,5.79
nutrition in medical education,USD,0,0%,0%,Unknown,,,
i eat good,USD,50,0%,0%,Unknown,,,
diet women's health,USD,50,∞,∞,Medium,57,,
ellyn satter eating competence,USD,50,0%,∞,Low,0,,
food for our body,USD,0,0%,0%,Unknown,,,
hows my diet,USD,0,0%,0%,Unknown,,,
diet no eating,USD,50,0%,∞,Low,0,,
nutritious food to eat,USD,50,-100%,-100%,Unknown,,,
current diet,USD,50,0%,0%,Unknown,,,
good for your health,USD,50,∞,0%,Low,6,,
eating on body,USD,, --, --,Unknown,,,
food is good for you,USD,50,0%,0%,Medium,49,0.03,3.24
in diet what should we eat,USD,, --, --,Unknown,,,
in diet what we have to eat,USD,, --, --,Unknown,,,
best food for our health,USD,50,-100%,-100%,Unknown,,,
i feel like i eat too much,USD,50,∞,∞,Low,0,,
reviews of what the health,USD,50,0%,0%,Low,3,,
nutrition you,USD,50,0%,-100%,Unknown,,,
this is good for health,USD,50,0%,0%,Unknown,,,
good food and good health,USD,0,0%,0%,Unknown,,,
i am what i eat,USD,50,0%,-100%,Unknown,,,
pedia nutrition,USD,50,-90%,0%,Low,19,2.55,6.16
best thing for your body,USD,50,0%,0%,Unknown,,,
best diet for a,USD,50,0%,0%,Low,14,,
best food for health body,USD,50,0%,∞,Low,0,,
state nutrition programs,USD,50,-100%,0%,Unknown,,,
feeding adults,USD,50,-100%,-100%,Unknown,,,
teenage dieting,USD,50,0%,0%,Low,30,0.68,4.17
diet in health and disease,USD,0,0%,-100%,Unknown,,,
we are nutrition,USD,50,0%,0%,Unknown,,,
food to health,USD,50,0%,0%,Low,0,,
food diet and health,USD,50,0%,0%,Unknown,,,
a diet food,USD,50,0%,∞,Medium,57,,
having diet,USD,50,∞,∞,Low,0,,
diet heal,USD,500,0%,0%,Low,16,0.91,4.59
food and well being,USD,50,-100%,-100%,Unknown,,,
food for nourishment,USD,50,0%,0%,Unknown,,,
food to eat to feel better,USD,50,∞,∞,Low,0,,
eat to right,USD,, --, --,Unknown,,,
chronic disease and diet,USD,50,0%,0%,Low,0,,
women eat,USD,50,0%,0%,Low,0,,
good food for good health,USD,50,0%,0%,Medium,49,0.03,3.24
